date_of_census,measure,count,table
2025-02-27,total_single_adults_in_shelter,21869,DHS daily census
2025-02-27,families_with_children_in_shelter,18177,DHS daily census
2025-02-27,adult_families_in_shelter,1950,DHS daily census
2025-02-26,total_individuals_in_shelter,84848,DHS daily census
2025-02-26,total_single_adults_in_shelter,21939,DHS daily census
2025-02-26,families_with_children_in_shelter,18163,DHS daily census
2025-02-26,adult_families_in_shelter,1951,DHS daily census
2025-02-25,total_individuals_in_shelter,84846,DHS daily census
2025-02-25,total_single_adults_in_shelter,21944,DHS daily census
2025-02-25,families_with_children_in_shelter,18160,DHS daily census
2025-02-25,adult_families_in_shelter,1960,DHS daily census
2025-02-24,total_individuals_in_shelter,84795,DHS daily census
2025-02-24,total_single_adults_in_shelter,21987,DHS daily census
2025-02-24,families_with_children_in_shelter,18134,DHS daily census
2025-02-24,adult_families_in_shelter,1955,DHS daily census
2025-02-23,total_individuals_in_shelter,84696,DHS daily census
2025-02-23,total_single_adults_in_shelter,21949,DHS daily census
2025-02-23,families_with_children_in_shelter,18123,DHS daily census
2025-02-23,adult_families_in_shelter,1951,DHS daily census
2025-02-22,total_individuals_in_shelter,84677,DHS daily census
2025-02-22,total_single_adults_in_shelter,21965,DHS daily census
2025-02-22,families_with_children_in_shelter,18121,DHS daily census
2025-02-22,adult_families_in_shelter,1945,DHS daily census
2025-02-21,total_individuals_in_shelter,84706,DHS daily census
2025-02-21,total_single_adults_in_shelter,22050,DHS daily census
2025-02-21,families_with_children_in_shelter,18105,DHS daily census
2025-02-21,adult_families_in_shelter,1939,DHS daily census
2025-02-20,total_individuals_in_shelter,84870,DHS daily census
2025-02-20,total_single_adults_in_shelter,22075,DHS daily census
2025-02-20,families_with_children_in_shelter,18135,DHS daily census
2025-02-20,adult_families_in_shelter,1956,DHS daily census
2025-02-19,total_individuals_in_shelter,85005,DHS daily census
2025-02-19,total_single_adults_in_shelter,22084,DHS daily census
2025-02-19,families_with_children_in_shelter,18172,DHS daily census
2025-02-19,adult_families_in_shelter,1960,DHS daily census
2025-02-18,total_individuals_in_shelter,85057,DHS daily census
2025-02-18,total_single_adults_in_shelter,22028,DHS daily census
2025-02-18,families_with_children_in_shelter,18203,DHS daily census
2025-02-18,adult_families_in_shelter,1952,DHS daily census
2025-02-17,total_individuals_in_shelter,84900,DHS daily census
2025-02-17,total_single_adults_in_shelter,22020,DHS daily census
2025-02-17,families_with_children_in_shelter,18170,DHS daily census
2025-02-17,adult_families_in_shelter,1941,DHS daily census
2025-02-16,total_individuals_in_shelter,84846,DHS daily census
2025-02-16,total_single_adults_in_shelter,21945,DHS daily census
2025-02-16,families_with_children_in_shelter,18176,DHS daily census
2025-02-16,adult_families_in_shelter,1946,DHS daily census
2025-02-15,total_individuals_in_shelter,84836,DHS daily census
2025-02-15,total_single_adults_in_shelter,21891,DHS daily census
2025-02-15,families_with_children_in_shelter,18182,DHS daily census
2025-02-15,adult_families_in_shelter,1948,DHS daily census
2025-02-14,total_individuals_in_shelter,84944,DHS daily census
2025-02-14,total_single_adults_in_shelter,21967,DHS daily census
2025-02-14,families_with_children_in_shelter,18195,DHS daily census
2025-02-14,adult_families_in_shelter,1945,DHS daily census
2025-02-13,total_individuals_in_shelter,85022,DHS daily census
2025-02-13,total_single_adults_in_shelter,22051,DHS daily census
2025-02-13,families_with_children_in_shelter,18189,DHS daily census
2025-02-13,adult_families_in_shelter,1950,DHS daily census
2025-02-12,total_individuals_in_shelter,85163,DHS daily census
2025-02-12,total_single_adults_in_shelter,22005,DHS daily census
2025-02-12,families_with_children_in_shelter,18250,DHS daily census
2025-02-12,adult_families_in_shelter,1956,DHS daily census
2025-02-11,total_individuals_in_shelter,85050,DHS daily census
2025-02-11,total_single_adults_in_shelter,22029,DHS daily census
2025-02-11,families_with_children_in_shelter,18223,DHS daily census
2025-02-11,adult_families_in_shelter,1933,DHS daily census
2025-02-10,total_individuals_in_shelter,85104,DHS daily census
2025-02-10,total_single_adults_in_shelter,22018,DHS daily census
2025-02-10,families_with_children_in_shelter,18237,DHS daily census
2025-02-10,adult_families_in_shelter,1937,DHS daily census
2025-02-09,total_individuals_in_shelter,85142,DHS daily census
2025-02-09,total_single_adults_in_shelter,21922,DHS daily census
2025-02-09,families_with_children_in_shelter,18278,DHS daily census
2025-02-09,adult_families_in_shelter,1930,DHS daily census
2025-02-08,total_individuals_in_shelter,85132,DHS daily census
2025-02-08,total_single_adults_in_shelter,21912,DHS daily census
2025-02-08,families_with_children_in_shelter,18279,DHS daily census
2025-02-08,adult_families_in_shelter,1931,DHS daily census
2025-02-07,total_individuals_in_shelter,85266,DHS daily census
2025-02-07,total_single_adults_in_shelter,21998,DHS daily census
2025-02-07,families_with_children_in_shelter,18283,DHS daily census
2025-02-07,adult_families_in_shelter,1927,DHS daily census
2025-02-06,total_individuals_in_shelter,85457,DHS daily census
2025-02-06,total_single_adults_in_shelter,21981,DHS daily census
2025-02-06,families_with_children_in_shelter,18346,DHS daily census
2025-02-06,adult_families_in_shelter,1929,DHS daily census
2025-02-05,total_individuals_in_shelter,85559,DHS daily census
2025-02-05,total_single_adults_in_shelter,21941,DHS daily census
2025-02-05,families_with_children_in_shelter,18396,DHS daily census
2025-02-05,adult_families_in_shelter,1938,DHS daily census
2025-02-04,total_individuals_in_shelter,85464,DHS daily census
2025-02-04,total_single_adults_in_shelter,21866,DHS daily census
2025-02-04,families_with_children_in_shelter,18398,DHS daily census
2025-02-04,adult_families_in_shelter,1933,DHS daily census
2025-02-03,total_individuals_in_shelter,85807,DHS daily census
2025-02-03,total_single_adults_in_shelter,21848,DHS daily census
2025-02-03,families_with_children_in_shelter,18509,DHS daily census
2025-02-03,adult_families_in_shelter,1927,DHS daily census
2025-02-02,total_individuals_in_shelter,86025,DHS daily census
2025-02-02,total_single_adults_in_shelter,21882,DHS daily census
2025-02-02,families_with_children_in_shelter,18565,DHS daily census
2025-02-02,adult_families_in_shelter,1926,DHS daily census
2025-02-01,total_individuals_in_shelter,85978,DHS daily census
2025-02-01,total_single_adults_in_shelter,21833,DHS daily census
2025-02-01,families_with_children_in_shelter,18573,DHS daily census
2025-02-01,adult_families_in_shelter,1924,DHS daily census
2025-01-31,total_individuals_in_shelter,86114,DHS daily census
2025-01-31,total_single_adults_in_shelter,21851,DHS daily census
2025-01-31,families_with_children_in_shelter,18607,DHS daily census
2025-01-31,adult_families_in_shelter,1923,DHS daily census
2025-01-30,total_individuals_in_shelter,86339,DHS daily census
2025-01-30,total_single_adults_in_shelter,21918,DHS daily census
2025-01-30,families_with_children_in_shelter,18656,DHS daily census
2025-01-30,adult_families_in_shelter,1919,DHS daily census
2025-01-29,total_individuals_in_shelter,86416,DHS daily census
2025-01-29,total_single_adults_in_shelter,21845,DHS daily census
2025-01-29,families_with_children_in_shelter,18698,DHS daily census
2025-01-29,adult_families_in_shelter,1916,DHS daily census
2025-01-28,total_individuals_in_shelter,86468,DHS daily census
2025-01-28,total_single_adults_in_shelter,21838,DHS daily census
2025-01-28,families_with_children_in_shelter,18711,DHS daily census
2025-01-28,adult_families_in_shelter,1914,DHS daily census
2025-01-27,total_individuals_in_shelter,86525,DHS daily census
2025-01-27,total_single_adults_in_shelter,21862,DHS daily census
2025-01-27,families_with_children_in_shelter,18719,DHS daily census
2025-01-27,adult_families_in_shelter,1915,DHS daily census
2025-01-26,total_individuals_in_shelter,86458,DHS daily census
2025-01-26,total_single_adults_in_shelter,21804,DHS daily census
2025-01-26,families_with_children_in_shelter,18711,DHS daily census
2025-01-26,adult_families_in_shelter,1914,DHS daily census
2025-01-25,total_individuals_in_shelter,86536,DHS daily census
2025-01-25,total_single_adults_in_shelter,21820,DHS daily census
2025-01-25,families_with_children_in_shelter,18736,DHS daily census
2025-01-25,adult_families_in_shelter,1916,DHS daily census
2025-01-24,total_individuals_in_shelter,86523,DHS daily census
2025-01-24,total_single_adults_in_shelter,21845,DHS daily census
2025-01-24,families_with_children_in_shelter,18745,DHS daily census
2025-01-24,adult_families_in_shelter,1902,DHS daily census
2025-01-23,total_individuals_in_shelter,86610,DHS daily census
2025-01-23,total_single_adults_in_shelter,21885,DHS daily census
2025-01-23,families_with_children_in_shelter,18747,DHS daily census
2025-01-23,adult_families_in_shelter,1908,DHS daily census
2025-01-22,total_individuals_in_shelter,86783,DHS daily census
2025-01-22,total_single_adults_in_shelter,21929,DHS daily census
2025-01-22,families_with_children_in_shelter,18783,DHS daily census
2025-01-22,adult_families_in_shelter,1916,DHS daily census
2025-01-21,total_individuals_in_shelter,87101,DHS daily census
2025-01-21,total_single_adults_in_shelter,21943,DHS daily census
2025-01-21,families_with_children_in_shelter,18876,DHS daily census
2025-01-21,adult_families_in_shelter,1916,DHS daily census
2025-01-20,total_individuals_in_shelter,87125,DHS daily census
2025-01-20,total_single_adults_in_shelter,21917,DHS daily census
2025-01-20,families_with_children_in_shelter,18897,DHS daily census
2025-01-20,adult_families_in_shelter,1909,DHS daily census
2025-01-19,total_individuals_in_shelter,86938,DHS daily census
2025-01-19,total_single_adults_in_shelter,21819,DHS daily census
2025-01-19,families_with_children_in_shelter,18864,DHS daily census
2025-01-19,adult_families_in_shelter,1905,DHS daily census
2025-01-18,total_individuals_in_shelter,86992,DHS daily census
2025-01-18,total_single_adults_in_shelter,21847,DHS daily census
2025-01-18,families_with_children_in_shelter,18878,DHS daily census
2025-01-18,adult_families_in_shelter,1902,DHS daily census
2025-01-17,total_individuals_in_shelter,87015,DHS daily census
2025-01-17,total_single_adults_in_shelter,21909,DHS daily census
2025-01-17,families_with_children_in_shelter,18869,DHS daily census
2025-01-17,adult_families_in_shelter,1902,DHS daily census
2025-01-16,total_individuals_in_shelter,87090,DHS daily census
2025-01-16,total_single_adults_in_shelter,21896,DHS daily census
2025-01-16,families_with_children_in_shelter,18902,DHS daily census
2025-01-16,adult_families_in_shelter,1902,DHS daily census
2025-01-15,total_individuals_in_shelter,87098,DHS daily census
2025-01-15,total_single_adults_in_shelter,21889,DHS daily census
2025-01-15,families_with_children_in_shelter,18911,DHS daily census
2025-01-15,adult_families_in_shelter,1899,DHS daily census
2025-01-14,total_individuals_in_shelter,87147,DHS daily census
2025-01-14,total_single_adults_in_shelter,21883,DHS daily census
2025-01-14,families_with_children_in_shelter,18924,DHS daily census
2025-01-14,adult_families_in_shelter,1898,DHS daily census
2025-01-13,total_individuals_in_shelter,86951,DHS daily census
2025-01-13,total_single_adults_in_shelter,21790,DHS daily census
2025-01-13,families_with_children_in_shelter,18875,DHS daily census
2025-01-13,adult_families_in_shelter,1904,DHS daily census
2025-01-12,total_individuals_in_shelter,87116,DHS daily census
2025-01-12,total_single_adults_in_shelter,21781,DHS daily census
2025-01-12,families_with_children_in_shelter,18932,DHS daily census
2025-01-12,adult_families_in_shelter,1902,DHS daily census
2025-01-11,total_individuals_in_shelter,86995,DHS daily census
2025-01-11,total_single_adults_in_shelter,21717,DHS daily census
2025-01-11,families_with_children_in_shelter,18920,DHS daily census
2025-01-11,adult_families_in_shelter,1892,DHS daily census
2025-01-10,total_individuals_in_shelter,87144,DHS daily census
2025-01-10,total_single_adults_in_shelter,21773,DHS daily census
2025-01-10,families_with_children_in_shelter,18950,DHS daily census
2025-01-10,adult_families_in_shelter,1895,DHS daily census
2025-01-09,total_individuals_in_shelter,87111,DHS daily census
2025-01-09,total_single_adults_in_shelter,21735,DHS daily census
2025-01-09,families_with_children_in_shelter,18960,DHS daily census
2025-01-09,adult_families_in_shelter,1895,DHS daily census
2025-01-08,total_individuals_in_shelter,87086,DHS daily census
2025-01-08,total_single_adults_in_shelter,21738,DHS daily census
2025-01-08,families_with_children_in_shelter,18940,DHS daily census
2025-01-08,adult_families_in_shelter,1899,DHS daily census
2025-01-07,total_individuals_in_shelter,87024,DHS daily census
2025-01-07,total_single_adults_in_shelter,21692,DHS daily census
2025-01-07,families_with_children_in_shelter,18932,DHS daily census
2025-01-07,adult_families_in_shelter,1892,DHS daily census
2025-01-06,total_individuals_in_shelter,86919,DHS daily census
2025-01-06,total_single_adults_in_shelter,21709,DHS daily census
2025-01-06,families_with_children_in_shelter,18896,DHS daily census
2025-01-06,adult_families_in_shelter,1895,DHS daily census
2025-01-05,total_individuals_in_shelter,86881,DHS daily census
2025-01-05,total_single_adults_in_shelter,21624,DHS daily census
2025-01-05,families_with_children_in_shelter,18927,DHS daily census
2025-01-05,adult_families_in_shelter,1894,DHS daily census
2025-01-04,total_individuals_in_shelter,86795,DHS daily census
2025-01-04,total_single_adults_in_shelter,21597,DHS daily census
2025-01-04,families_with_children_in_shelter,18905,DHS daily census
2025-01-04,adult_families_in_shelter,1899,DHS daily census
2025-01-03,total_individuals_in_shelter,86697,DHS daily census
2025-01-03,total_single_adults_in_shelter,21578,DHS daily census
2025-01-03,families_with_children_in_shelter,18883,DHS daily census
2025-01-03,adult_families_in_shelter,1899,DHS daily census
2025-01-02,total_individuals_in_shelter,86707,DHS daily census
2025-01-02,total_single_adults_in_shelter,21566,DHS daily census
2025-01-02,families_with_children_in_shelter,18896,DHS daily census
2025-01-02,adult_families_in_shelter,1903,DHS daily census
2025-01-01,total_individuals_in_shelter,86669,DHS daily census
2025-01-01,total_single_adults_in_shelter,21464,DHS daily census
2025-01-01,families_with_children_in_shelter,18907,DHS daily census
2025-01-01,adult_families_in_shelter,1914,DHS daily census
2024-12-31,total_individuals_in_shelter,86340,DHS daily census
2024-12-31,total_single_adults_in_shelter,21295,DHS daily census
2024-12-31,families_with_children_in_shelter,18863,DHS daily census
2024-12-31,adult_families_in_shelter,1900,DHS daily census
2024-12-30,total_individuals_in_shelter,86428,DHS daily census
2024-12-30,total_single_adults_in_shelter,21514,DHS daily census
2024-12-30,families_with_children_in_shelter,18831,DHS daily census
2024-12-30,adult_families_in_shelter,1900,DHS daily census
2024-12-29,total_individuals_in_shelter,86795,DHS daily census
2024-12-29,total_single_adults_in_shelter,21543,DHS daily census
2024-12-29,families_with_children_in_shelter,18956,DHS daily census
2024-12-29,adult_families_in_shelter,1901,DHS daily census
2024-12-28,total_individuals_in_shelter,86817,DHS daily census
2024-12-28,total_single_adults_in_shelter,21542,DHS daily census
2024-12-28,families_with_children_in_shelter,18968,DHS daily census
2024-12-28,adult_families_in_shelter,1906,DHS daily census
2024-12-27,total_individuals_in_shelter,86779,DHS daily census
2024-12-27,total_single_adults_in_shelter,21501,DHS daily census
2024-12-27,families_with_children_in_shelter,18979,DHS daily census
2024-12-27,adult_families_in_shelter,1906,DHS daily census
2024-12-26,total_individuals_in_shelter,86838,DHS daily census
2024-12-26,total_single_adults_in_shelter,21480,DHS daily census
2024-12-26,families_with_children_in_shelter,19011,DHS daily census
2024-12-26,adult_families_in_shelter,1898,DHS daily census
2024-12-25,total_individuals_in_shelter,86887,DHS daily census
2024-12-25,total_single_adults_in_shelter,21477,DHS daily census
2024-12-25,families_with_children_in_shelter,19028,DHS daily census
2024-12-25,adult_families_in_shelter,1898,DHS daily census
2024-12-24,total_individuals_in_shelter,86856,DHS daily census
2024-12-24,total_single_adults_in_shelter,21469,DHS daily census
2024-12-24,families_with_children_in_shelter,19024,DHS daily census
2024-12-24,adult_families_in_shelter,1888,DHS daily census
2024-12-23,total_individuals_in_shelter,87023,DHS daily census
2024-12-23,total_single_adults_in_shelter,21566,DHS daily census
2024-12-23,families_with_children_in_shelter,19044,DHS daily census
2024-12-23,adult_families_in_shelter,1895,DHS daily census
2024-12-22,total_individuals_in_shelter,86849,DHS daily census
2024-12-22,total_single_adults_in_shelter,21512,DHS daily census
2024-12-22,families_with_children_in_shelter,19021,DHS daily census
2024-12-22,adult_families_in_shelter,1891,DHS daily census
2024-12-21,total_individuals_in_shelter,86699,DHS daily census
2024-12-21,total_single_adults_in_shelter,21525,DHS daily census
2024-12-21,families_with_children_in_shelter,18972,DHS daily census
2024-12-21,adult_families_in_shelter,1892,DHS daily census
2024-12-20,total_individuals_in_shelter,86674,DHS daily census
2024-12-20,total_single_adults_in_shelter,21494,DHS daily census
2024-12-20,families_with_children_in_shelter,18979,DHS daily census
2024-12-20,adult_families_in_shelter,1886,DHS daily census
2024-12-19,total_individuals_in_shelter,86768,DHS daily census
2024-12-19,total_single_adults_in_shelter,21550,DHS daily census
2024-12-19,families_with_children_in_shelter,18989,DHS daily census
2024-12-19,adult_families_in_shelter,1889,DHS daily census
2024-12-18,total_individuals_in_shelter,86858,DHS daily census
2024-12-18,total_single_adults_in_shelter,21547,DHS daily census
2024-12-18,families_with_children_in_shelter,19012,DHS daily census
2024-12-18,adult_families_in_shelter,1888,DHS daily census
2024-12-17,total_individuals_in_shelter,86782,DHS daily census
2024-12-17,total_single_adults_in_shelter,21524,DHS daily census
2024-12-17,families_with_children_in_shelter,18982,DHS daily census
2024-12-17,adult_families_in_shelter,1886,DHS daily census
2024-12-16,total_individuals_in_shelter,86917,DHS daily census
2024-12-16,total_single_adults_in_shelter,21515,DHS daily census
2024-12-16,families_with_children_in_shelter,19049,DHS daily census
2024-12-16,adult_families_in_shelter,1881,DHS daily census
2024-12-15,total_individuals_in_shelter,86957,DHS daily census
2024-12-15,total_single_adults_in_shelter,21535,DHS daily census
2024-12-15,families_with_children_in_shelter,19052,DHS daily census
2024-12-15,adult_families_in_shelter,1882,DHS daily census
2024-12-14,total_individuals_in_shelter,86688,DHS daily census
2024-12-14,total_single_adults_in_shelter,21452,DHS daily census
2024-12-14,families_with_children_in_shelter,18998,DHS daily census
2024-12-14,adult_families_in_shelter,1881,DHS daily census
2024-12-13,total_individuals_in_shelter,86663,DHS daily census
2024-12-13,total_single_adults_in_shelter,21479,DHS daily census
2024-12-13,families_with_children_in_shelter,18984,DHS daily census
2024-12-13,adult_families_in_shelter,1883,DHS daily census
2024-12-12,total_individuals_in_shelter,86796,DHS daily census
