measure,count,table,date
Veterans In Short-term Housing,180,single_adults,2024-10-30
Criminal Justice Short-term Housing,NA,single_adults,2024-10-30
Families with Children Requesting Temporary Housing,175,family_intake,2024-10-30
Adult Families Requesting Temporary Housing,22,family_intake,2024-10-30
Families Placed in Overnight Accommodations,0,family_intake,2024-10-30
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-10-30
Adults,54439,total_shelter_census,2024-10-30
Children,32767,total_shelter_census,2024-10-30
Total Individuals,87206,total_shelter_census,2024-10-30
Men,16013,total_single_adults,2024-10-30
Women,5425,total_single_adults,2024-10-30
Total Single Adults,21438,total_single_adults,2024-10-30
Families,19086,families_with_children,2024-10-30
Adults,28949,families_with_children,2024-10-30
Children,32767,families_with_children,2024-10-30
Individuals,61716,families_with_children,2024-10-30
Families,1883,adult_families_census,2024-10-30
Individuals (Adults),4052,adult_families_census,2024-10-30
Single Adults,23863,combined_total_single_adults,2024-10-30
Total Individuals,89631,combined_total_shelter_census,2024-10-30
Drop-in Center Clients Served,420,single_adults,2024-09-08
Drop-in Center Overnight Census,204,single_adults,2024-09-08
Faith Bed Census,15,single_adults,2024-09-08
Outreach Contacts,214,single_adults,2024-09-08
Outreach Placements,36,single_adults,2024-09-08
Safe Haven Utilization,1844,single_adults,2024-09-08
Veterans In Short-term Housing,140,single_adults,2024-09-08
Criminal Justice Short-term Housing,NA,single_adults,2024-09-08
Families with Children Requesting Temporary Housing,93,family_intake,2024-09-08
Adult Families Requesting Temporary Housing,19,family_intake,2024-09-08
Families Placed in Overnight Accommodations,0,family_intake,2024-09-08
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-09-08
Adults,54446,total_shelter_census,2024-09-08
Children,33347,total_shelter_census,2024-09-08
Total Individuals,87793,total_shelter_census,2024-09-08
Men,15428,total_single_adults,2024-09-08
Women,5104,total_single_adults,2024-09-08
Total Single Adults,20532,total_single_adults,2024-09-08
Families,19488,families_with_children,2024-09-08
Adults,29905,families_with_children,2024-09-08
Children,33347,families_with_children,2024-09-08
Individuals,63252,families_with_children,2024-09-08
Families,1866,adult_families_census,2024-09-08
Individuals (Adults),4009,adult_families_census,2024-09-08
Single Adults,22735,combined_total_single_adults,2024-09-08
Total Individuals,89996,combined_total_shelter_census,2024-09-08
Drop-in Center Clients Served,218,single_adults,2024-09-05
Drop-in Center Overnight Census,84,single_adults,2024-09-05
Faith Bed Census,22,single_adults,2024-09-05
Outreach Contacts,259,single_adults,2024-09-05
Outreach Placements,78,single_adults,2024-09-05
Safe Haven Utilization,1822,single_adults,2024-09-05
Veterans In Short-term Housing,157,single_adults,2024-09-05
Criminal Justice Short-term Housing,NA,single_adults,2024-09-05
Families with Children Requesting Temporary Housing,192,family_intake,2024-09-05
Adult Families Requesting Temporary Housing,28,family_intake,2024-09-05
Families Placed in Overnight Accommodations,0,family_intake,2024-09-05
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-09-05
Adults,54357,total_shelter_census,2024-09-05
Children,33398,total_shelter_census,2024-09-05
Total Individuals,87755,total_shelter_census,2024-09-05
Men,15364,total_single_adults,2024-09-05
Women,5121,total_single_adults,2024-09-05
Total Single Adults,20485,total_single_adults,2024-09-05
Families,18483,families_with_children,2024-09-05
Adults,29910,families_with_children,2024-09-05
Children,33398,families_with_children,2024-09-05
Individuals,63308,families_with_children,2024-09-05
Families,1843,adult_families_census,2024-09-05
Individuals (Adults),3962,adult_families_census,2024-09-05
Single Adults,22570,combined_total_single_adults,2024-09-05
Total Individuals,89840,combined_total_shelter_census,2024-09-05
Drop-in Center Clients Served,377,single_adults,2024-09-04
Drop-in Center Overnight Census,184,single_adults,2024-09-04
Faith Bed Census,17,single_adults,2024-09-04
Outreach Contacts,268,single_adults,2024-09-04
Outreach Placements,60,single_adults,2024-09-04
Safe Haven Utilization,1818,single_adults,2024-09-04
Veterans In Short-term Housing,157,single_adults,2024-09-04
Criminal Justice Short-term Housing,NA,single_adults,2024-09-04
Families with Children Requesting Temporary Housing,210,family_intake,2024-09-04
Adult Families Requesting Temporary Housing,30,family_intake,2024-09-04
Families Placed in Overnight Accommodations,0,family_intake,2024-09-04
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-09-04
Adults,54408,total_shelter_census,2024-09-04
Children,33376,total_shelter_census,2024-09-04
Total Individuals,87784,total_shelter_census,2024-09-04
Men,15378,total_single_adults,2024-09-04
Women,5130,total_single_adults,2024-09-04
Total Single Adults,20508,total_single_adults,2024-09-04
Families,19482,families_with_children,2024-09-04
Adults,29919,families_with_children,2024-09-04
Children,33376,families_with_children,2024-09-04
Individuals,63295,families_with_children,2024-09-04
Families,1852,adult_families_census,2024-09-04
Individuals (Adults),3981,adult_families_census,2024-09-04
Single Adults,22684,combined_total_single_adults,2024-09-04
Total Individuals,89960,combined_total_shelter_census,2024-09-04
Drop-in Center Clients Served,239,single_adults,2024-09-03
Drop-in Center Overnight Census,107,single_adults,2024-09-03
Faith Bed Census,23,single_adults,2024-09-03
Outreach Contacts,182,single_adults,2024-09-03
Outreach Placements,50,single_adults,2024-09-03
Safe Haven Utilization,1810,single_adults,2024-09-03
Veterans In Short-term Housing,156,single_adults,2024-09-03
Criminal Justice Short-term Housing,NA,single_adults,2024-09-03
Families with Children Requesting Temporary Housing,185,family_intake,2024-09-03
Adult Families Requesting Temporary Housing,20,family_intake,2024-09-03
Families Placed in Overnight Accommodations,0,family_intake,2024-09-03
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-09-03
Adults,54524,total_shelter_census,2024-09-03
Children,33426,total_shelter_census,2024-09-03
Total Individuals,87950,total_shelter_census,2024-09-03
Men,15397,total_single_adults,2024-09-03
Women,5150,total_single_adults,2024-09-03
Total Single Adults,20547,total_single_adults,2024-09-03
Families,19505,families_with_children,2024-09-03
Adults,29969,families_with_children,2024-09-03
Children,33426,families_with_children,2024-09-03
Individuals,63395,families_with_children,2024-09-03
Families,1864,adult_families_census,2024-09-03
Individuals (Adults),4008,adult_families_census,2024-09-03
Single Adults,22643,combined_total_single_adults,2024-09-03
Total Individuals,90046,combined_total_shelter_census,2024-09-03
Drop-in Center Clients Served,363,single_adults,2024-09-02
Drop-in Center Overnight Census,146,single_adults,2024-09-02
Faith Bed Census,17,single_adults,2024-09-02
Outreach Contacts,184,single_adults,2024-09-02
Outreach Placements,31,single_adults,2024-09-02
Safe Haven Utilization,1811,single_adults,2024-09-02
Veterans In Short-term Housing,151,single_adults,2024-09-02
Criminal Justice Short-term Housing,NA,single_adults,2024-09-02
Families with Children Requesting Temporary Housing,97,family_intake,2024-09-02
Adult Families Requesting Temporary Housing,16,family_intake,2024-09-02
Families Placed in Overnight Accommodations,0,family_intake,2024-09-02
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-09-02
Adults,54457,total_shelter_census,2024-09-02
Children,33468,total_shelter_census,2024-09-02
Total Individuals,87925,total_shelter_census,2024-09-02
Men,15351,total_single_adults,2024-09-02
Women,5112,total_single_adults,2024-09-02
Total Single Adults,20463,total_single_adults,2024-09-02
Families,19527,families_with_children,2024-09-02
Adults,30006,families_with_children,2024-09-02
Children,33468,families_with_children,2024-09-02
Individuals,63474,families_with_children,2024-09-02
Families,1853,adult_families_census,2024-09-02
Individuals (Adults),3988,adult_families_census,2024-09-02
Single Adults,22588,combined_total_single_adults,2024-09-02
Total Individuals,90050,combined_total_shelter_census,2024-09-02
Drop-in Center Clients Served,393,single_adults,2024-08-29
Drop-in Center Overnight Census,166,single_adults,2024-08-29
Faith Bed Census,22,single_adults,2024-08-29
Outreach Contacts,203,single_adults,2024-08-29
Outreach Placements,48,single_adults,2024-08-29
Safe Haven Utilization,1810,single_adults,2024-08-29
Veterans In Short-term Housing,163,single_adults,2024-08-29
Criminal Justice Short-term Housing,NA,single_adults,2024-08-29
Families with Children Requesting Temporary Housing,184,family_intake,2024-08-29
Adult Families Requesting Temporary Housing,25,family_intake,2024-08-29
Families Placed in Overnight Accommodations,0,family_intake,2024-08-29
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-29
Adults,54365,total_shelter_census,2024-08-29
Children,33323,total_shelter_census,2024-08-29
Total Individuals,87688,total_shelter_census,2024-08-29
Men,15373,total_single_adults,2024-08-29
Women,5110,total_single_adults,2024-08-29
Total Single Adults,20483,total_single_adults,2024-08-29
Families,19442,families_with_children,2024-08-29
Adults,29904,families_with_children,2024-08-29
Children,33323,families_with_children,2024-08-29
Individuals,63227,families_with_children,2024-08-29
Families,1850,adult_families_census,2024-08-29
Individuals (Adults),3978,adult_families_census,2024-08-29
Single Adults,22644,combined_total_single_adults,2024-08-29
Total Individuals,89849,combined_total_shelter_census,2024-08-29
Drop-in Center Clients Served,393,single_adults,2024-08-28
Drop-in Center Overnight Census,153,single_adults,2024-08-28
Faith Bed Census,21,single_adults,2024-08-28
Outreach Contacts,225,single_adults,2024-08-28
Outreach Placements,47,single_adults,2024-08-28
Safe Haven Utilization,1805,single_adults,2024-08-28
Veterans In Short-term Housing,160,single_adults,2024-08-28
Criminal Justice Short-term Housing,NA,single_adults,2024-08-28
Families with Children Requesting Temporary Housing,163,family_intake,2024-08-28
Adult Families Requesting Temporary Housing,19,family_intake,2024-08-28
Families Placed in Overnight Accommodations,0,family_intake,2024-08-28
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-28
Adults,54413,total_shelter_census,2024-08-28
Children,33320,total_shelter_census,2024-08-28
Total Individuals,87733,total_shelter_census,2024-08-28
Men,15349,total_single_adults,2024-08-28
Women,5142,total_single_adults,2024-08-28
Total Single Adults,20491,total_single_adults,2024-08-28
Families,19442,families_with_children,2024-08-28
Adults,29917,families_with_children,2024-08-28
Children,33320,families_with_children,2024-08-28
Individuals,63237,families_with_children,2024-08-28
Families,1863,adult_families_census,2024-08-28
Individuals (Adults),4005,adult_families_census,2024-08-28
Single Adults,22630,combined_total_single_adults,2024-08-28
Total Individuals,89872,combined_total_shelter_census,2024-08-28
Drop-in Center Clients Served,400,single_adults,2024-08-27
Drop-in Center Overnight Census,157,single_adults,2024-08-27
Faith Bed Census,20,single_adults,2024-08-27
Outreach Contacts,295,single_adults,2024-08-27
Outreach Placements,56,single_adults,2024-08-27
Safe Haven Utilization,1803,single_adults,2024-08-27
Veterans In Short-term Housing,161,single_adults,2024-08-27
Criminal Justice Short-term Housing,NA,single_adults,2024-08-27
Families with Children Requesting Temporary Housing,176,family_intake,2024-08-27
Adult Families Requesting Temporary Housing,16,family_intake,2024-08-27
Families Placed in Overnight Accommodations,0,family_intake,2024-08-27
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-27
Adults,54242,total_shelter_census,2024-08-27
Children,33253,total_shelter_census,2024-08-27
Total Individuals,87495,total_shelter_census,2024-08-27
Men,15253,total_single_adults,2024-08-27
Women,5116,total_single_adults,2024-08-27
Total Single Adults,20369,total_single_adults,2024-08-27
Families,19412,families_with_children,2024-08-27
Adults,29859,families_with_children,2024-08-27
Children,33253,families_with_children,2024-08-27
Individuals,63112,families_with_children,2024-08-27
Families,1867,adult_families_census,2024-08-27
Individuals (Adults),4014,adult_families_census,2024-08-27
Single Adults,22510,combined_total_single_adults,2024-08-27
Total Individuals,89636,combined_total_shelter_census,2024-08-27
Drop-in Center Clients Served,409,single_adults,2024-08-26
Drop-in Center Overnight Census,163,single_adults,2024-08-26
Faith Bed Census,23,single_adults,2024-08-26
Outreach Contacts,262,single_adults,2024-08-26
Outreach Placements,35,single_adults,2024-08-26
Safe Haven Utilization,1801,single_adults,2024-08-26
Veterans In Short-term Housing,156,single_adults,2024-08-26
Criminal Justice Short-term Housing,NA,single_adults,2024-08-26
Families with Children Requesting Temporary Housing,177,family_intake,2024-08-26
Adult Families Requesting Temporary Housing,20,family_intake,2024-08-26
Families Placed in Overnight Accommodations,0,family_intake,2024-08-26
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-26
Adults,54409,total_shelter_census,2024-08-26
Children,33274,total_shelter_census,2024-08-26
Total Individuals,87683,total_shelter_census,2024-08-26
Men,15423,total_single_adults,2024-08-26
Women,5112,total_single_adults,2024-08-26
Total Single Adults,20535,total_single_adults,2024-08-26
Families,19397,families_with_children,2024-08-26
Adults,29854,families_with_children,2024-08-26
Children,33274,families_with_children,2024-08-26
Individuals,63128,families_with_children,2024-08-26
Families,1871,adult_families_census,2024-08-26
Individuals (Adults),4020,adult_families_census,2024-08-26
Single Adults,22678,combined_total_single_adults,2024-08-26
Total Individuals,89826,combined_total_shelter_census,2024-08-26
Drop-in Center Clients Served,407,single_adults,2024-08-25
Drop-in Center Overnight Census,163,single_adults,2024-08-25
Faith Bed Census,10,single_adults,2024-08-25
Outreach Contacts,250,single_adults,2024-08-25
Outreach Placements,34,single_adults,2024-08-25
Safe Haven Utilization,1798,single_adults,2024-08-25
Veterans In Short-term Housing,146,single_adults,2024-08-25
Criminal Justice Short-term Housing,NA,single_adults,2024-08-25
Families with Children Requesting Temporary Housing,81,family_intake,2024-08-25
Adult Families Requesting Temporary Housing,10,family_intake,2024-08-25
Families Placed in Overnight Accommodations,0,family_intake,2024-08-25
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-25
Adults,54384,total_shelter_census,2024-08-25
Children,33305,total_shelter_census,2024-08-25
Total Individuals,87689,total_shelter_census,2024-08-25
Men,15349,total_single_adults,2024-08-25
Women,5105,total_single_adults,2024-08-25
Total Single Adults,20454,total_single_adults,2024-08-25
Families,19433,families_with_children,2024-08-25
Adults,29912,families_with_children,2024-08-25
Children,33305,families_with_children,2024-08-25
Individuals,63217,families_with_children,2024-08-25
Families,1870,adult_families_census,2024-08-25
Individuals (Adults),4018,adult_families_census,2024-08-25
Single Adults,22571,combined_total_single_adults,2024-08-25
Total Individuals,89806,combined_total_shelter_census,2024-08-25
Drop-in Center Clients Served,345,single_adults,2024-08-22
Drop-in Center Overnight Census,123,single_adults,2024-08-22
Faith Bed Census,23,single_adults,2024-08-22
Outreach Contacts,370,single_adults,2024-08-22
Outreach Placements,56,single_adults,2024-08-22
Safe Haven Utilization,1774,single_adults,2024-08-22
Veterans In Short-term Housing,144,single_adults,2024-08-22
Criminal Justice Short-term Housing,NA,single_adults,2024-08-22
Families with Children Requesting Temporary Housing,166,family_intake,2024-08-22
Adult Families Requesting Temporary Housing,24,family_intake,2024-08-22
Families Placed in Overnight Accommodations,0,family_intake,2024-08-22
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-22
Adults,54460,total_shelter_census,2024-08-22
Children,33255,total_shelter_census,2024-08-22
Total Individuals,87715,total_shelter_census,2024-08-22
Men,15418,total_single_adults,2024-08-22
Women,5131,total_single_adults,2024-08-22
Total Single Adults,20549,total_single_adults,2024-08-22
Families,19409,families_with_children,2024-08-22
Adults,29903,families_with_children,2024-08-22
Children,33255,families_with_children,2024-08-22
Individuals,63158,families_with_children,2024-08-22
Families,1865,adult_families_census,2024-08-22
Individuals (Adults),4008,adult_families_census,2024-08-22
Single Adults,22613,combined_total_single_adults,2024-08-22
Total Individuals,89779,combined_total_shelter_census,2024-08-22
Drop-in Center Clients Served,397,single_adults,2024-08-21
Drop-in Center Overnight Census,150,single_adults,2024-08-21
Faith Bed Census,29,single_adults,2024-08-21
Outreach Contacts,284,single_adults,2024-08-21
Outreach Placements,52,single_adults,2024-08-21
Safe Haven Utilization,1768,single_adults,2024-08-21
Veterans In Short-term Housing,144,single_adults,2024-08-21
Criminal Justice Short-term Housing,NA,single_adults,2024-08-21
Families with Children Requesting Temporary Housing,147,family_intake,2024-08-21
Adult Families Requesting Temporary Housing,28,family_intake,2024-08-21
Families Placed in Overnight Accommodations,0,family_intake,2024-08-21
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-21
Adults,54412,total_shelter_census,2024-08-21
Children,33273,total_shelter_census,2024-08-21
Total Individuals,87685,total_shelter_census,2024-08-21
Men,15386,total_single_adults,2024-08-21
