agency_abb,date,count,table,root
dycd,2019-12-01,364,number of unduplicated individuals,ll37 historical
hpd,2019-12-01,2041,number of unduplicated individuals,ll37 historical
dhs,2020-01-01,62316,number of unduplicated individuals,ll37 historical
hra,2020-01-01,4808,number of unduplicated individuals,ll37 historical
dycd,2020-01-01,447,number of unduplicated individuals,ll37 historical
hpd,2020-01-01,2101,number of unduplicated individuals,ll37 historical
dhs,2020-02-01,61386,number of unduplicated individuals,ll37 historical
hra,2020-02-01,4811,number of unduplicated individuals,ll37 historical
dycd,2020-02-01,367,number of unduplicated individuals,ll37 historical
hpd,2020-02-01,2059,number of unduplicated individuals,ll37 historical
dhs,2020-03-01,60279,number of unduplicated individuals,ll37 historical
hra,2020-03-01,4754,number of unduplicated individuals,ll37 historical
dycd,2020-03-01,333,number of unduplicated individuals,ll37 historical
hpd,2020-03-01,1914,number of unduplicated individuals,ll37 historical
dhs,2020-04-01,57785,number of unduplicated individuals,ll37 historical
hra,2020-04-01,4576,number of unduplicated individuals,ll37 historical
dycd,2020-04-01,181,number of unduplicated individuals,ll37 historical
hpd,2020-04-01,1201,number of unduplicated individuals,ll37 historical
dhs,2020-05-01,57460,number of unduplicated individuals,ll37 historical
hra,2020-05-01,4490,number of unduplicated individuals,ll37 historical
dycd,2020-05-01,238,number of unduplicated individuals,ll37 historical
hpd,2020-05-01,1186,number of unduplicated individuals,ll37 historical
dhs,2020-06-01,56873,number of unduplicated individuals,ll37 historical
hra,2020-06-01,8166,number of unduplicated individuals,ll37 historical
dycd,2020-06-01,260,number of unduplicated individuals,ll37 historical
hpd,2020-06-01,1157,number of unduplicated individuals,ll37 historical
dhs,2020-07-01,56613,number of unduplicated individuals,ll37 historical
hra,2020-07-01,7595,number of unduplicated individuals,ll37 historical
dycd,2020-07-01,343,number of unduplicated individuals,ll37 historical
hpd,2020-07-01,1080,number of unduplicated individuals,ll37 historical
dhs,2020-08-01,56323,number of unduplicated individuals,ll37 historical
hra,2020-08-01,8078,number of unduplicated individuals,ll37 historical
dycd,2020-08-01,322,number of unduplicated individuals,ll37 historical
hpd,2020-08-01,1091,number of unduplicated individuals,ll37 historical
dhs,2020-09-01,56140,number of unduplicated individuals,ll37 historical
hra,2020-09-01,8166,number of unduplicated individuals,ll37 historical
dycd,2020-09-01,319,number of unduplicated individuals,ll37 historical
hpd,2020-09-01,1144,number of unduplicated individuals,ll37 historical
dhs,2020-10-01,55970,number of unduplicated individuals,ll37 historical
hra,2020-10-01,7929,number of unduplicated individuals,ll37 historical
dycd,2020-10-01,351,number of unduplicated individuals,ll37 historical
hpd,2020-10-01,1144,number of unduplicated individuals,ll37 historical
dhs,2020-11-01,55575,number of unduplicated individuals,ll37 historical
hra,2020-11-01,7718,number of unduplicated individuals,ll37 historical
dycd,2020-11-01,268,number of unduplicated individuals,ll37 historical
hpd,2020-11-01,1115,number of unduplicated individuals,ll37 historical
dhs,2020-12-01,55567,number of unduplicated individuals,ll37 historical
hra,2020-12-01,7623,number of unduplicated individuals,ll37 historical
dycd,2020-12-01,303,number of unduplicated individuals,ll37 historical
hpd,2020-12-01,1091,number of unduplicated individuals,ll37 historical
dhs,2021-01-01,55238,number of unduplicated individuals,ll37 historical
hra,2021-01-01,7704,number of unduplicated individuals,ll37 historical
dycd,2021-01-01,257,number of unduplicated individuals,ll37 historical
hpd,2021-01-01,1057,number of unduplicated individuals,ll37 historical
dhs,2021-02-01,54068,number of unduplicated individuals,ll37 historical
hra,2021-02-01,7554,number of unduplicated individuals,ll37 historical
dycd,2021-02-01,281,number of unduplicated individuals,ll37 historical
hpd,2021-02-01,1079,number of unduplicated individuals,ll37 historical
dhs,2021-03-01,53940,number of unduplicated individuals,ll37 historical
hra,2021-03-01,7678,number of unduplicated individuals,ll37 historical
dycd,2021-03-01,315,number of unduplicated individuals,ll37 historical
hpd,2021-03-01,1150,number of unduplicated individuals,ll37 historical
dhs,2021-04-01,52484,number of unduplicated individuals,ll37 historical
hra,2021-04-01,7226,number of unduplicated individuals,ll37 historical
dycd,2021-04-01,317,number of unduplicated individuals,ll37 historical
hpd,2021-04-01,1160,number of unduplicated individuals,ll37 historical
dhs,2021-05-01,51207,number of unduplicated individuals,ll37 historical
hra,2021-05-01,6956,number of unduplicated individuals,ll37 historical
dycd,2021-05-01,331,number of unduplicated individuals,ll37 historical
hpd,2021-05-01,1175,number of unduplicated individuals,ll37 historical
dhs,2021-06-01,50096,number of unduplicated individuals,ll37 historical
hra,2021-06-01,7164,number of unduplicated individuals,ll37 historical
dycd,2021-06-01,279,number of unduplicated individuals,ll37 historical
hpd,2021-06-01,1271,number of unduplicated individuals,ll37 historical
dhs,2021-07-01,48518,number of unduplicated individuals,ll37 historical
hra,2021-07-01,7111,number of unduplicated individuals,ll37 historical
dycd,2021-07-01,373,number of unduplicated individuals,ll37 historical
hpd,2021-07-01,1215,number of unduplicated individuals,ll37 historical
dhs,2021-08-01,47923,number of unduplicated individuals,ll37 historical
hra,2021-08-01,7083,number of unduplicated individuals,ll37 historical
dycd,2021-08-01,373,number of unduplicated individuals,ll37 historical
hpd,2021-08-01,1176,number of unduplicated individuals,ll37 historical
hra,2021-09-01,7122,number of unduplicated individuals,ll37 historical
dycd,2021-09-01,331,number of unduplicated individuals,ll37 historical
hpd,2021-09-01,1180,number of unduplicated individuals,ll37 historical
dhs,2021-10-01,48947,number of unduplicated individuals,ll37 historical
hra,2021-10-01,7057,number of unduplicated individuals,ll37 historical
dycd,2021-10-01,339,number of unduplicated individuals,ll37 historical
hpd,2021-10-01,1213,number of unduplicated individuals,ll37 historical
dhs,2021-11-01,49061,number of unduplicated individuals,ll37 historical
hra,2021-11-01,7003,number of unduplicated individuals,ll37 historical
dycd,2021-11-01,319,number of unduplicated individuals,ll37 historical
hpd,2021-11-01,1192,number of unduplicated individuals,ll37 historical
dhs,2021-12-01,49071,number of unduplicated individuals,ll37 historical
hra,2021-12-01,6873,number of unduplicated individuals,ll37 historical
dycd,2021-12-01,271,number of unduplicated individuals,ll37 historical
hpd,2021-12-01,1281,number of unduplicated individuals,ll37 historical
dhs,2022-01-01,49067,number of unduplicated individuals,ll37 historical
dycd,2022-01-01,308,number of unduplicated individuals,ll37 historical
hpd,2022-01-01,1691,number of unduplicated individuals,ll37 historical
dhs,2022-02-01,48622,number of unduplicated individuals,ll37 historical
dycd,2022-02-01,290,number of unduplicated individuals,ll37 historical
hpd,2022-02-01,1787,number of unduplicated individuals,ll37 historical
dhs,2022-03-01,49538,number of unduplicated individuals,ll37 historical
dycd,2022-03-01,294,number of unduplicated individuals,ll37 historical
hpd,2022-03-01,1815,number of unduplicated individuals,ll37 historical
dhs,2022-04-01,49429,number of unduplicated individuals,ll37 historical
hra,2022-04-01,6698,number of unduplicated individuals,ll37 historical
dycd,2022-04-01,318,number of unduplicated individuals,ll37 historical
hpd,2022-04-01,1786,number of unduplicated individuals,ll37 historical
dhs,2022-05-01,50223,number of unduplicated individuals,ll37 historical
hra,2022-05-01,6813,number of unduplicated individuals,ll37 historical
dycd,2022-05-01,280,number of unduplicated individuals,ll37 historical
hpd,2022-05-01,1888,number of unduplicated individuals,ll37 historical
dhs,2022-06-01,51406,number of unduplicated individuals,ll37 historical
hra,2022-06-01,6904,number of unduplicated individuals,ll37 historical
dycd,2022-06-01,362,number of unduplicated individuals,ll37 historical
hpd,2022-06-01,1932,number of unduplicated individuals,ll37 historical
dhs,2022-07-01,54085,number of unduplicated individuals,ll37 historical
hra,2022-07-01,7194,number of unduplicated individuals,ll37 historical
dycd,2022-07-01,350,number of unduplicated individuals,ll37 historical
hpd,2022-07-01,1813,number of unduplicated individuals,ll37 historical
dhs,2022-08-01,57852,number of unduplicated individuals,ll37 historical
hra,2022-08-01,7177,number of unduplicated individuals,ll37 historical
dycd,2022-08-01,346,number of unduplicated individuals,ll37 historical
hpd,2022-08-01,1785,number of unduplicated individuals,ll37 historical
dhs,2022-09-01,63502,number of unduplicated individuals,ll37 historical
hra,2022-09-01,7252,number of unduplicated individuals,ll37 historical
dycd,2022-09-01,298,number of unduplicated individuals,ll37 historical
hpd,2022-09-01,1802,number of unduplicated individuals,ll37 historical
dhs,2022-10-01,66971,number of unduplicated individuals,ll37 historical
hra,2022-10-01,7122,number of unduplicated individuals,ll37 historical
dycd,2022-10-01,304,number of unduplicated individuals,ll37 historical
hpd,2022-10-01,1814,number of unduplicated individuals,ll37 historical
dhs,2022-11-01,67073,number of unduplicated individuals,ll37 historical
hra,2022-11-01,6772,number of unduplicated individuals,ll37 historical
dycd,2022-11-01,329,number of unduplicated individuals,ll37 historical
hpd,2022-11-01,1761,number of unduplicated individuals,ll37 historical
dhs,2022-12-01,69984,number of unduplicated individuals,ll37 historical
hra,2022-12-01,7023,number of unduplicated individuals,ll37 historical
dycd,2022-12-01,281,number of unduplicated individuals,ll37 historical
hpd,2022-12-01,1821,number of unduplicated individuals,ll37 historical
dhs,2023-01-01,73921,number of unduplicated individuals,ll37 historical
hra,2023-01-01,7108,number of unduplicated individuals,ll37 historical
dycd,2023-01-01,306,number of unduplicated individuals,ll37 historical
hpd,2023-01-01,1860,number of unduplicated individuals,ll37 historical
dhs,2023-02-01,73528,number of unduplicated individuals,ll37 historical
hra,2023-02-01,6925,number of unduplicated individuals,ll37 historical
dycd,2023-02-01,286,number of unduplicated individuals,ll37 historical
hpd,2023-02-01,1888,number of unduplicated individuals,ll37 historical
dhs,2023-03-01,76059,number of unduplicated individuals,ll37 historical
hra,2023-03-01,7008,number of unduplicated individuals,ll37 historical
dycd,2023-03-01,363,number of unduplicated individuals,ll37 historical
hpd,2023-03-01,1902,number of unduplicated individuals,ll37 historical
dhs,2023-04-01,79896,number of unduplicated individuals,ll37 historical
hra,2023-04-01,6940,number of unduplicated individuals,ll37 historical
dycd,2023-04-01,321,number of unduplicated individuals,ll37 historical
hpd,2023-04-01,1940,number of unduplicated individuals,ll37 historical
